"corpus","classlaweb_bs"
"subcorpus","-"
"concordance size","20159"
"query","Query:[lemma_lc=""arheol.*""]"
"text.genre", "Frequency", "Relative density", "Relative in text types"
"News",10184, 106.44469, 26.74032
"Information/Explanation",6189, 340.02014, 85.41757
"Opinion/Argumentation",1319, 52.05016, 13.07569
"Mix",718, 89.27935, 22.42816
"Forum",508, 22.50000, 5.65230
"Other",414, 57.28575, 14.39094
"Promotion",398, 48.30705, 12.13537
"Legal",317, 58.78222, 14.76687
"Prose/Lyrical",66, 12.67615, 3.18442
"Instruction",46, 8.08743, 2.03167
"p.script", "Frequency", "Relative density", "Relative in text types"
"Latin",19270, 101.44706, 25.48485
"Cyrillic",596, 71.34108, 17.92182
"unk",293, 89.20754, 22.41012
"text.tld", "Frequency", "Relative density", "Relative in text types"
"ba",12907, 113.62478, 28.54405
"com",3477, 72.90273, 18.31413
"info",1980, 116.35225, 29.22923
"net",906, 69.79159, 17.53257
"org",594, 89.98698, 22.60592
"news",136, 113.87247, 28.60627
"tv",73, 60.76460, 15.26487
"biz",42, 107.13525, 26.91380
"eu",12, 269.61624, 67.73117
"online",10, 54.34860, 13.65309
"world",9, 244.23191, 61.35429
"si",5, 12.76956, 3.20788
"name",5, 52.95319, 13.30254
"gov",2, 175.23691, 44.02183
"travel",1, 120.75113, 30.33428
"text.domain", "Frequency", "Relative density", "Relative in text types"
"piramidasunca.ba",2588, 18217.99705, 4576.60239
"old.kons.gov.ba",1622, 2409.97424, 605.41748
"magicus.info",1120, 149.72950, 37.61403
"nedjelja.ba",365, 194.67027, 48.90375
"pozitivno.ba",362, 1740.93083, 437.34491
"akta.ba",350, 133.18899, 33.45884
"bhstring.net",313, 67.01105, 16.83406
"alternativnahistorija.com",276, 5823.28816, 1462.88719
"ljportal.com",272, 396.58157, 99.62655
"bih-x.info",255, 309.69816, 77.80028
"srpskainfo.com",249, 69.91078, 17.56251
"tuzlanski.ba",236, 81.41996, 20.45377
"zemaljskimuzej.ba",225, 13045.52212, 3277.20811
"troplet.ba",211, 121.60821, 30.54959
"ff.sum.ba",193, 2648.18038, 665.25802
"ex-iskon-pleme.com",179, 25.38061, 6.37595
"alternativa-forum.com",178, 40.79101, 10.24724
"mail.infobiro.ba",167, 158.68026, 39.86259
"rogaticani.com",156, 185.24226, 46.53531
"most.ba",155, 214.88295, 53.98145
"infobiro.ba",146, 105.82029, 26.58346
"bhputovanja.ba",145, 519.70539, 130.55688
"tacno.net",145, 46.21214, 11.60910
"vecernji.ba",140, 76.88069, 19.31345
"katera.news",136, 114.52705, 28.77071
"lupiga.com",136, 58.00727, 14.57219
"rogatica.com",135, 126.50048, 31.77860
"radiodonjivakuf.com.ba",134, 172.66627, 43.37606
"galaksija.info",134, 63.86407, 16.04350
"idoconline.info",132, 170.60956, 42.85938
"kons.gov.ba",131, 8574.96413, 2154.14467
"wikiwand.com",130, 253.87249, 63.77614
"frontal.ba",121, 84.88299, 21.32373
"muzejibtuzla.podkonac.org",116, 30416.90727, 7641.13036
"muzejtravnik.ba",113, 6748.53759, 1695.32211
"m.vecernji.ba",113, 77.85246, 19.55757
"bhdocumentary.net",106, 3235.80535, 812.87720
"federalna.ba",101, 152.25155, 38.24761
"arhiva.vipromo.ba",98, 687.08597, 172.60510
"bir.ba",95, 188.10966, 47.25564
"radisici.ba",94, 446.51878, 112.17144
"arhiva.h-alter.org",90, 38.76780, 9.73898
"grude.com",89, 64.70151, 16.25388
